[Name]
Series 1 at Line 1

[Data]
Y [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 1.87988044e-04
2.02020211e-03, 1.88012331e-04
4.04040422e-03, 1.87980040e-04
6.06060633e-03, 1.87865153e-04
8.08080845e-03, 1.87750265e-04
1.01010110e-02, 1.87643076e-04
1.21212136e-02, 1.87491954e-04
1.41414162e-02, 1.87346712e-04
1.61616188e-02, 1.87205267e-04
1.81818213e-02, 1.87003228e-04
2.02020239e-02, 1.86757985e-04
2.22222265e-02, 1.86511665e-04
2.42424291e-02, 1.86193298e-04
2.62626316e-02, 1.85868179e-04
2.82828342e-02, 1.85491954e-04
3.03030368e-02, 1.85096738e-04
3.23232375e-02, 1.84683697e-04
3.43434401e-02, 1.84226912e-04
3.63636427e-02, 1.83742464e-04
3.83838452e-02, 1.83212789e-04
4.04040478e-02, 1.82666205e-04
4.24242504e-02, 1.82103031e-04
4.44444530e-02, 1.81473675e-04
4.64646555e-02, 1.80833333e-04
4.84848581e-02, 1.80194504e-04
5.05050607e-02, 1.79476687e-04
5.25252633e-02, 1.78671035e-04
5.45454659e-02, 1.77857408e-04
5.65656684e-02, 1.77007241e-04
5.85858710e-02, 1.76107249e-04
6.06060736e-02, 1.75191250e-04
6.26262724e-02, 1.74269982e-04
6.46464750e-02, 1.73297929e-04
6.66666776e-02, 1.72320870e-04
6.86868802e-02, 1.71271357e-04
7.07070827e-02, 1.70170810e-04
7.27272853e-02, 1.69040068e-04
7.47474879e-02, 1.67911960e-04
7.67676905e-02, 1.66730752e-04
7.87878931e-02, 1.65475023e-04
8.08080956e-02, 1.64205980e-04
8.28282982e-02, 1.62873766e-04
8.48485008e-02, 1.61457967e-04
8.68687034e-02, 1.60012103e-04
8.88889059e-02, 1.58562645e-04
9.09091085e-02, 1.57026545e-04
9.29293111e-02, 1.55413480e-04
9.49495137e-02, 1.53800342e-04
9.69697163e-02, 1.52118242e-04
9.89899188e-02, 1.50345630e-04
1.01010121e-01, 1.48555468e-04
1.03030324e-01, 1.46757506e-04
1.05050527e-01, 1.44815349e-04
1.07070729e-01, 1.42834382e-04
1.09090932e-01, 1.40860371e-04
1.11111134e-01, 1.38804491e-04
1.13131337e-01, 1.36709656e-04
1.15151539e-01, 1.34633185e-04
1.17171742e-01, 1.32543879e-04
1.19191945e-01, 1.30279761e-04
1.21212147e-01, 1.27982319e-04
1.23232350e-01, 1.25678736e-04
1.25252545e-01, 1.23320307e-04
1.27272740e-01, 1.20816381e-04
1.29292935e-01, 1.18312651e-04
1.31313130e-01, 1.15793016e-04
1.33333325e-01, 1.13140777e-04
1.35353521e-01, 1.10415072e-04
1.37373716e-01, 1.07699561e-04
1.39393911e-01, 1.04978149e-04
1.41414106e-01, 1.02128608e-04
1.43434301e-01, 9.93252543e-05
1.45454496e-01, 9.65579675e-05
1.47474691e-01, 9.37726509e-05
1.49494886e-01, 9.06921341e-05
1.51515082e-01, 8.75783589e-05
1.53535277e-01, 8.44703027e-05
1.55555472e-01, 8.13152219e-05
1.57575667e-01, 7.81142517e-05
1.59595862e-01, 7.49413812e-05
1.61616057e-01, 7.17545336e-05
1.63636252e-01, 6.84380939e-05
1.65656447e-01, 6.51398150e-05
1.67676643e-01, 6.18367558e-05
1.69696838e-01, 5.83124274e-05
1.71717033e-01, 5.47227064e-05
1.73737228e-01, 5.11033249e-05
1.75757423e-01, 4.74916524e-05
1.77777618e-01, 4.38010065e-05
1.79797813e-01, 4.01108700e-05
1.81818008e-01, 3.61944803e-05
1.83838204e-01, 3.22551932e-05
1.85858399e-01, 2.83873960e-05
1.87878594e-01, 2.46216568e-05
1.89898789e-01, 2.08397341e-05
1.91918984e-01, 1.66535192e-05
1.93939179e-01, 1.23348609e-05
1.95959374e-01, 8.13231327e-06
1.97979569e-01, 4.03666081e-06
1.99999765e-01, 0.00000000e+00


