[Name]
Series 1 at /LINE:Line 1

[Data]
y2 [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 6.14608696e-04
2.02019513e-03, 6.14598743e-04
4.04039025e-03, 6.14588673e-04
6.06058538e-03, 6.14553981e-04
8.08078051e-03, 6.14497403e-04
1.01009756e-02, 6.14438555e-04
1.21211708e-02, 6.14339777e-04
1.41413659e-02, 6.14240882e-04
1.61615610e-02, 6.14112825e-04
1.81817561e-02, 6.13963173e-04
2.02019513e-02, 6.13807351e-04
2.22221464e-02, 6.13594893e-04
2.42423415e-02, 6.13382552e-04
2.62625366e-02, 6.13121432e-04
2.82827318e-02, 6.12830918e-04
3.03029269e-02, 6.12526026e-04
3.23231220e-02, 6.12138829e-04
3.43433172e-02, 6.11751631e-04
3.63635123e-02, 6.11284457e-04
3.83837074e-02, 6.10778632e-04
4.04039025e-02, 6.10244169e-04
4.24240977e-02, 6.09594572e-04
4.44442928e-02, 6.08945033e-04
4.64644879e-02, 6.08170638e-04
4.84846830e-02, 6.07348746e-04
5.05048782e-02, 6.06476329e-04
5.25250733e-02, 6.05451060e-04
5.45452684e-02, 6.04425964e-04
5.65654635e-02, 6.03216875e-04
5.85856587e-02, 6.01954409e-04
6.06058538e-02, 6.00609987e-04
6.26260489e-02, 5.99074294e-04
6.46462440e-02, 5.97538543e-04
6.66664392e-02, 5.95746387e-04
6.86866343e-02, 5.93899516e-04
7.07068294e-02, 5.91930584e-04
7.27270246e-02, 5.89734234e-04
7.47472197e-02, 5.87537943e-04
7.67674223e-02, 5.85001486e-04
7.87876248e-02, 5.82416076e-04
8.08078274e-02, 5.79659827e-04
8.28280300e-02, 5.76646882e-04
8.48482326e-02, 5.73633937e-04
8.68684351e-02, 5.70190372e-04
8.88886377e-02, 5.66711940e-04
9.09088403e-02, 5.63007954e-04
9.29290429e-02, 5.59028122e-04
9.49492455e-02, 5.55048464e-04
9.69694480e-02, 5.50547382e-04
9.89896506e-02, 5.46032854e-04
1.01009853e-01, 5.41236077e-04
1.03030056e-01, 5.36156353e-04
1.05050258e-01, 5.31062309e-04
1.07070461e-01, 5.25391661e-04
1.09090663e-01, 5.19721070e-04
1.11110866e-01, 5.13713399e-04
1.13131069e-01, 5.07429184e-04
1.15151271e-01, 5.01098169e-04
1.17171474e-01, 4.94183565e-04
1.19191676e-01, 4.87268873e-04
1.21211879e-01, 4.79968177e-04
1.23232082e-01, 4.72409971e-04
1.25252277e-01, 4.64770448e-04
1.27272487e-01, 4.56560694e-04
1.29292697e-01, 4.48350911e-04
1.31312892e-01, 4.39715455e-04
1.33333087e-01, 4.30850632e-04
1.35353297e-01, 4.21871460e-04
1.37373507e-01, 4.12352383e-04
1.39393702e-01, 4.02833277e-04
1.41413897e-01, 3.92859511e-04
1.43434107e-01, 3.82690690e-04
1.45454317e-01, 3.72377544e-04
1.47474512e-01, 3.61566897e-04
1.49494708e-01, 3.50756221e-04
1.51514918e-01, 3.39472055e-04
1.53535128e-01, 3.28030001e-04
1.55555323e-01, 3.16417776e-04
1.57575518e-01, 3.04356799e-04
1.59595728e-01, 2.92295794e-04
1.61615938e-01, 2.79750762e-04
1.63636133e-01, 2.67084542e-04
1.65656328e-01, 2.54226703e-04
1.67676538e-01, 2.40969268e-04
1.69696748e-01, 2.27712182e-04
1.71716943e-01, 2.13965264e-04
1.73737139e-01, 2.00131602e-04
1.75757349e-01, 1.86087258e-04
1.77777559e-01, 1.71690044e-04
1.79797754e-01, 1.57293383e-04
1.81817949e-01, 1.42401463e-04
1.83838159e-01, 1.27454317e-04
1.85858369e-01, 1.12278067e-04
1.87878564e-01, 9.67918022e-05
1.89898759e-01, 8.13055303e-05
1.91918969e-01, 6.53192692e-05
1.93939164e-01, 4.93066400e-05
1.95959374e-01, 3.30509101e-05
1.97979569e-01, 1.65263791e-05
1.99999779e-01, 0.00000000e+00


