[Name]
Series 1 at Line 1

[Data]
Y [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 1.93258194e-04
2.02020211e-03, 1.93335713e-04
4.04040422e-03, 1.93177737e-04
6.06060633e-03, 1.92997919e-04
8.08080845e-03, 1.92789143e-04
1.01010110e-02, 1.92580366e-04
1.21212136e-02, 1.92377862e-04
1.41414162e-02, 1.92224543e-04
1.61616188e-02, 1.92071180e-04
1.81818213e-02, 1.91819883e-04
2.02020239e-02, 1.91361192e-04
2.22222265e-02, 1.90902472e-04
2.42424291e-02, 1.90443781e-04
2.62626316e-02, 1.89981831e-04
2.82828342e-02, 1.89538550e-04
3.03030368e-02, 1.89092083e-04
3.23232375e-02, 1.88645659e-04
3.43434401e-02, 1.88176506e-04
3.63636427e-02, 1.87702914e-04
3.83838452e-02, 1.87229351e-04
4.04040478e-02, 1.86570833e-04
4.24242504e-02, 1.85700759e-04
4.44444530e-02, 1.85108060e-04
4.64646555e-02, 1.84403791e-04
4.84848581e-02, 1.83532480e-04
5.05050607e-02, 1.82661141e-04
5.25252633e-02, 1.81789786e-04
5.45454659e-02, 1.80918461e-04
5.65656684e-02, 1.80079762e-04
5.85858710e-02, 1.79331459e-04
6.06060736e-02, 1.78610877e-04
6.26262724e-02, 1.77890252e-04
6.46464750e-02, 1.77169684e-04
6.66666776e-02, 1.76449015e-04
6.86868802e-02, 1.75704234e-04
7.07070827e-02, 1.74466826e-04
7.27272853e-02, 1.73229404e-04
7.47474879e-02, 1.71992011e-04
7.67676905e-02, 1.70754545e-04
7.87878931e-02, 1.69517138e-04
8.08080956e-02, 1.68279716e-04
8.28282982e-02, 1.67042308e-04
8.48485008e-02, 1.65753256e-04
8.68687034e-02, 1.64079247e-04
8.88889059e-02, 1.62194439e-04
9.09091085e-02, 1.60238706e-04
9.29293111e-02, 1.58282972e-04
9.49495137e-02, 1.56327253e-04
9.69697163e-02, 1.54371519e-04
9.89899188e-02, 1.52415771e-04
1.01010121e-01, 1.50460037e-04
1.03030324e-01, 1.48513966e-04
1.05050527e-01, 1.46566104e-04
1.07070729e-01, 1.44423306e-04
1.09090932e-01, 1.42280493e-04
1.11111134e-01, 1.40137679e-04
1.13131337e-01, 1.37918367e-04
1.15151539e-01, 1.35687689e-04
1.17171742e-01, 1.33456997e-04
1.19191945e-01, 1.31226305e-04
1.21212147e-01, 1.28995613e-04
1.23232350e-01, 1.26753017e-04
1.25252545e-01, 1.24435552e-04
1.27272740e-01, 1.22118086e-04
1.29292935e-01, 1.19800643e-04
1.31313130e-01, 1.17421485e-04
1.33333325e-01, 1.14007096e-04
1.35353521e-01, 1.10592693e-04
1.37373716e-01, 1.07178319e-04
1.39393911e-01, 1.03763923e-04
1.41414106e-01, 1.00343030e-04
1.43434301e-01, 9.68133463e-05
1.45454496e-01, 9.32836556e-05
1.47474691e-01, 8.97420905e-05
1.49494886e-01, 8.61076551e-05
1.51515082e-01, 8.24732197e-05
1.53535277e-01, 7.88387915e-05
1.55555472e-01, 7.52043561e-05
1.57575667e-01, 7.15752976e-05
1.59595862e-01, 6.81777237e-05
1.61616057e-01, 6.47801571e-05
1.63636252e-01, 6.13825905e-05
1.65656447e-01, 5.79850166e-05
1.67676643e-01, 5.45874536e-05
1.69696838e-01, 5.11898797e-05
1.71717033e-01, 4.77923095e-05
1.73737228e-01, 4.43947392e-05
1.75757423e-01, 4.09971690e-05
1.77777618e-01, 3.75537602e-05
1.79797813e-01, 3.40286460e-05
1.81818008e-01, 3.03718298e-05
1.83838204e-01, 2.67029791e-05
1.85858399e-01, 2.30341248e-05
1.87878594e-01, 1.93652759e-05
1.89898789e-01, 1.56964234e-05
1.91918984e-01, 1.20275699e-05
1.93939179e-01, 8.35871924e-06
1.95959374e-01, 4.68986764e-06
1.97979569e-01, 1.02101535e-06
1.99999765e-01, 0.00000000e+00


